sentimen;tahun;text
Netral;2019;''------------------------\nM36a\nSMP Muhammadiyah 36 Jakarta\nJl. Tebet Timur II No.35. Tebet Jakarta Selatan, Jakarta Selatan\n\nInformasi Penerimaan Peserta Didik Baru (PPDB) tahun pelajaran 2019/2020.\n\nSMP Muh 36 : 021 829 5772, 0818144521 https://t.co/MAve4vy9Xh'
Netral;2019;'Pendaftaran PPDB Online SD PROV DKI Jakarta2020/2021 https://t.co/HU5a4KFAbU'
Netral;2019;''Simak Ketentuan dan Jadwal Jalur Zonasi PPDB SMA 2019 DKI Jakarta - https://t.co/kJ994KIstB'
Netral;2019;''Hasil PPDB Madrasah (MAN) DKI Jakarta Diumumkan, Cek di Sini! - https://t.co/0LducjM5Fw'
Netral;2019;''PPDB SMK SANTA THERESIA JAKARTA\nhttps://t.co/IMSWhn2jxQ https://t.co/FT1yGhmKdA'
Netral;2019;'Passing Grade  Hasil PPDB SMP DKI Jakarta th 2019 https://t.co/3zxYfOlOMU'
Netral;2019;''SMA dengan Jurusan Bahasa di PPDB DKI Jakarta https://t.co/1uuqZBWm27 via @youthmanual @achoels'
Netral;2019;''Kamu Punya Prestasi, Simak Cara Mendaftar PPDB 2019 DKI Jakarta Jalur Prestasi! - https://t.co/QoeUWPe2pm'
Netral;2019;''Hasil PPDB Madrasah (MAN) DKI Jakarta Diumumkan, Cek di Sini! - https://t.co/0LducjM5Fw'
Netral;2019;''@null Mendikbud: Jakarta Penuhi Syarat Terapkan PPDB Zonasi Penuh Mendikbud Muhadjir E  https://t.co/qJMilBfqLZ'
Netral;2019;''@null Mendikbud: Jakarta Penuhi Syarat Terapkan PPDB Zonasi Penuh Mendikbud Muhadjir E  https://t.co/3U92WiYUaz'
Netral;2019;''SMK JAKARTA PUSAT 1 PPDB 2020 https://t.co/Ba9MonqcHY NYIMAS'
Netral;2019;''Pengumuman Hasil PPDB Madrasah (MAN) DKI Jakarta Dilakukan Hari Ini - https://t.co/a1B1Xq8fsI https://t.co/QuGaofbShG https://t.co/wa2iZkKDU7'
Positif;2019;'Ppdb DKI Jakarta tahun 2019 sudah berakhir. Selamat bagi yg diterima di sekolah2 negri. Bagi yg belum diterima, jangan putus asa, ini bukan akhir dr segalanya.\nSeperti biasa mimin akan hibernasi sampai menjelang ppdb 2020 thn depan. Sekali lg selamat dan semangat!!!! '
Positif;2019;''Alasan Penulis Status Tak Usah Pajang Foto Presiden karena Kagum PPDB DKI https://t.co/s0aKmmfh35 lewat @Tribun_Jakarta'
Positif;2019;"''@thedufresne Setuju!\n\nKemarin sudah coba untuk advokasi kebijakan PPDB, alhamdulilah untuk Jakarta ga ada kasus serupa daerah lain. Kemudian mulai coba diskusi bareng buat perbaikan PAUD.\n\nTerkait konstruksi, benar kalau Disdik belum paham betul ttg konstruksi dan desain yang ""ramah anak"". ^^'"
Positif;2019;''Semoga @Kemdikbud_RI bisa mengevaluasi tahun depan aturan ppdb, misalnya jadikan jakarta sebagai percontohan beberapa tahun kalau sukses baru terapkan di daerah lain, kalau gak ada evaluasi mohon @jokowi copot saja mendikbudnya'
Positif;2019;''@Kunto_Drummer @aniesbaswedan Yg pasti di Jakarta yg dipimpin pak @aniesbaswedan penerimaan siswa baru alias PPDB nggak ribet nggak pake antri dr jam 3 pagi, syarat daftar sekolah pake nilai UN bukan pake meteran. Kami para wali murid mengucapkan TERIMA KASIH PAK ANIES....'
Positif;2019;''Sistem PPDB DKI Jakarta sudah cukup bijaksana dan cukup akomodatif dalam menyalurkan aspirasi warganya untuk mendapatkan pendidikan yang adil, layak dan memperhatikan keseimbangan lingkungan kota dan penduduk. https://t.co/VO7mGxcFIW'
Positif;2019;'@NitaSellya Dibantuin sama mimin @ppdbdki dg fast respon dimasa2 hr terakhir ppdb jakarta non dki.Berarti bgt jasa informasinya dimasa2 genting ppdb gini. Aku sbg ibu yg H2C jd sgt terbantu. Didoain berkah, murah rejeki. Klo blm ketemu jodoh,dipertemukan yg terbaik.Terima kasihbanyak min.'
Positif;2019;''Berlangsung Lancar, PPDB Jakarta yang Digagas Anies Bisa Jadi Rujukan | SwaMedium https://t.co/MbyxEL8It6'
Positif;2019;''Berlangsung Lancar, PPDB Jakarta yang Digagas Anies Bisa Jadi Rujukan | SwaMedium https://t.co/e4iS0mhJXS'
Positif;2019;'Opini saya sejak 2 tahun lalu hingga kini, PPDB Jakarta cukup Fair dan Transparan..'
Positif;2019;''Berlangsung Lancar, Fahira Idris: PPDB Jakarta Bisa Jadi Rujukan Kota Lain - https://t.co/RFHtoOVons'
Positif;2019;''Berlangsung Lancar, PPDB Jakarta Bisa Jadi Rujukan Kota Lain\nhttps://t.co/Sj2ODhqj9Z'
Positif;2019;''Lancar, PPDB Jakarta Bisa Jadi Rujukan Kota Lain - https://t.co/A6aOKv2zXc https://t.co/ffzU3R8DN9'
Positif;2019;''Berlangsung Lancar, PPDB Jakarta Bisa Jadi Rujukan Kota Lain https://t.co/Tw23zxYgEe'
Positif;2019;''Berlangsung Lancar, PPDB Jakarta Bisa Jadi Rujukan Kota Lain https://t.co/KmwMUR5v9O'
Positif;2019;''PPDB Jakarta Dinilai Bisa Jadi Rujukan, baca @republikaonline\nhttps://t.co/dlbULhvtCs'
Positif;2019;''Kepala Dinas Pendidikan (Kadisdik) DKI Jakarta, Ratiyono menilai penerapan sistem zonasi sekolah pada Penerimaan Peserta Didik Baru (PPDB) di Jakarta sudah cukup adil. https://t.co/sHogVkvTC1 https://t.co/PLPzdVtmN3'
Positif;2019;''Kadisdik DKI Klaim Penerapan Zonasi PPDB di Jakarta Sangat Adil https://t.co/0x9ZFCwhua https://t.co/1tAA5rz2ka'
Positif;2019;''Kadisdik DKI Klaim Penerapan Zonasi PPDB di Jakarta Sangat Adil https://t.co/rgWGfzXchn'
Positif;2019;''Kadisdik DKI Jakarta menilai penerapan sistem zonasi sekolah pada PPDB di Jakarta sudah cukup adi. https://t.co/fqn4BaNLP2 https://t.co/uyhnk4Hr8t'
Positif;2019;''Kepala Dinas Pendidikan (Kadisdik) DKI Jakarta, Ratiyono menilai penerapan sistem zonasi sekolah pada Penerimaan Peserta Didik Baru (PPDB) di Jakarta sudah cukup adil. https://t.co/EbDKVO7OUA'
Positif;2019;''Berlangsung Lancar, PPDB Jakarta yang Digagas Anies Bisa Jadi Rujukan - https://t.co/PewEw9CWN1 #faktaberitafakta https://t.co/xpTXTWIilT'
Positif;2019;''Meski Mengular, Antrean PPDB di SMA 8 Jakarta Kondusif https://t.co/E2DHl1Om79'
Positif;2019;''Dukung Penerapan Sistem Zonasi PPDB, Wali Murid : Peluang Diterima di Sekolah Unggulan Lebih Besar https://t.co/bb1npp3ItW lewat @Tribun_Jakarta'
Positif;2019;''Heboh ppdb online, tp jakarta masih anteng aja. Untungnya dr tahun 2004 udah online, meski tiap tahun ada perubahan tp semakin baik. Sepertinya daerah lain hrs buat 2 jalur ppdb jg nih, umum &amp zonasi tp nem tetap jd patokannya'
Positif;2019;''@PPDBDKI1 @RianHandrijoko @mendiknas Setuju min. Kami dukung Mimin agar tetap Menyeleksi Pakai Nilai UN.jangan Dengerin Yg kepanasan gara gara Nemnya kecil wkwkw.. Good Job ppdb jakarta!'
Positif;2019;''Pelaksanaan Penerimaan Peserta Didik Baru (PPDB) tahun 2019 di DKI Jakarta berjalan kondusif.\n\nMenurut FSGI Kemendikbud perlu mencontoh Pemprov DKI Jakarta dalam penerapan sistem zonasi dalam PPDB.\n\nBagaimana pengalaman teman-teman yg mengurus #PPDB tahun ini? https://t.co/fmxRxLl0gd'
Positif;2019;''PPDB DKI Jakarta selama ini dianggap baik. Bisa dicontoh https://t.co/ROagtWjO30'
Positif;2019;''Warga apresiasi pelaksanaan PPDB online jalur inklusi di Jakarta.\nhttps://t.co/9K53iTFaYb https://t.co/iQjgW5lIjH'
Positif;2019;''Warga Kelurahan Rawa Badak Selatan, Koja, Jakarta Utara, mengapresiasi jalur inklusi Penerimaan Peserta Didik Baru (PPDB) online bagi calon pelajar tingkat SD hingga SMA atau SMK. https://t.co/5Ht3AqKa1x'
Negatif;2020;''@select1ve maap bos, udah dbl founder, gaada surabaya g merdeka bos hahay sukarno lahir disini\njakarta itu kota apa kelahiran umur si, ppdb aja pake umur niat sekolah kaga WKWKW'
Negatif;2020;''@BudiMario @dewi_darmawati KADISDIK DKI JAKARTA NIH BUAT BLUNDER DAN RAMAI AJA.\nKEMARIN BLUNDER SOAL PPDB, SEKARANG SOAL UJIAN...\nSUKA BANGET YA BUAT BLUNDER..\n\nDIA UDAH GA BISA TIDUR NYENYAK NIH... UDAH VIRAL GINI...\n\nPERLU DITELUSURI APA MAKSUD DARI SOAL UJIAN TERSEBUT...'
Negatif;2020;''@schfess fix nder lu kalo ikut ppdb jakarta tahun ini kepental mulu'
Negatif;2020;'@Uki23 Ini akibatnya kalau ga Bener kerja, yg patung di masker in lah, yg atap rumah warga fly over tapal kuda di cat, atau ganjil genap motor diberlakukan, PPDB  jakarta menggunakan umur sebagai acuan'
Negatif;2020;''Gubernur Anies Baswedan dan Disdik DKI Jakarta digugat ke PTUN DKI soal PPDB 2020. PPDB 2020 DKI dengan seleksi usia disebut melanggar aturan Kemendikbud. #AniesBaswedan #PPDB https://t.co/xOwcoQB0Sj'
Negatif;2020;''Para orang tua murid memasukkan gugatan kepada Pemprov DKI Jakarta ke PTUN Jakarta karena menerapkan syarat yang diskriminatif dalam PPDB online sehingga merugikan keberlangsungan pendidikan bermutu bagi siswa murid. (Joi)\n#ElshintaEdisiSiang https://t.co/9HqhrFcdue'
Negatif;2020;"''@jubidotcom Sosialisasi yang ""Buruk"" ? #ppdb #permendibud #indonesia #jakarta #pelajar #gubernur #daerah #kota https://t.co/cE23XxWNxX'"
Negatif;2020;"''@bagiwang @sandalista1789 Sosialisasi yang ""Buruk"" ? #ppdb #permendibud #indonesia #jakarta #pelajar #gubernur #daerah #kota https://t.co/cE23XxWNxX'"
Negatif;2020;"''@detikcom Sosialisasi yang ""Buruk"" ? #ppdb #permendibud #indonesia #jakarta #pelajar #gubernur #daerah #kota https://t.co/cE23XxWNxX'"
Negatif;2020;"''@RestyLeseh Sosialisasi yang ""Buruk"" ? #ppdb #permendibud #indonesia #jakarta #pelajar #gubernur #daerah #kota https://t.co/cE23XxWNxX'"
Negatif;2020;"''@RestyLeseh Sosialisasi yang ""Buruk"" ? #ppdb #permendibud #indonesia #jakarta #pelajar #gubernur #daerah #kota https://t.co/cE23XxWNxX'"
Negatif;2020;''@musniumar Gak nonton berita kalo PPDB di DKI Jakarta bermasalah ya ???'
Negatif;2020;''Ada demo lagi ya nis @aniesbaswedan terkait PPDB DKI Jakarta ?? Gimana tuh solusinya nis ?? Jangan dokem bae ente..!'
Negatif;2020;''Sadar atau tidak pelaksanaan penerimaan peserta didik baru (PPDB) meninggalkan persoalan baru di Jakarta. \n\nSaya menerima laporan ada ratusan siswa yang hingga saat ini belum terdaftar di sekolah mana pun dan terancam putus sekolah. https://t.co/z1w7VpzA1Y'
Negatif;2020;''Pelajar peraih ratusan penghargaan Aristawidya Maheswari (15) memperoleh tawaran melanjutkan pendidikan SMA di sejumlah sekolah swasta di Jakarta usai gagal lolos seleksi negeri. kok bisa?\n\n#PPDB #Jakarta\nhttps://t.co/KikuV4a2je'
Negatif;2020;''Kritik Anies Soal PPDB dan Reklamasi, Presidium Barometer Jakarta Gelar Aksi Demonstrasi https://t.co/7rJBJnzCvW https://t.co/CkbLbqNuK5'
Negatif;2020;''Komisi Perlindungan Anak Indonesia (KPAI) menyebut ada 106 siswa yang tak lolos Penerimaan Peserta Didik Baru (PPDB) DKI Jakarta 2020 yang belakangan menjadi kisruh karena syarat usia.\n\nBaca selengkapnya di https://t.co/2sy4ld1Moq\n\n#pasticorrecto #ppdb #jakarta #siswa #kpaihttps://t.co/C8kKS5Mk4s'
Negatif;2020;''Kids, belum lama ini, heboh dengan berita seorang siswi bernama Aristawdya Maheswari, siswi umur 15 tahun, yang berhasil mememiliki 700 piala perhargaan, namun gagal diterima di SMA Negeri di Jakarta, pada seleksi Penerimaan Peserta Didik Baru atau PPDB. https://t.co/LpkzVJhoszhttps://t.co/EwGBwyuRJB'
Negatif;2020;''PPDB Zonasi 2020 Dihujani Kritik, Kini Ribuan Kursi Kosong di Sekolah Jakarta Tak Terisi https://t.co/mnCon3HxdB'
Negatif;2020;''Seharusnya sblm menerapkan sistem PPDB Zonasi Diknas DKI hrs memperhitungkan atau mensosialisasikan lbh dulu sistem ini, emg enak skrg akhirnya byk kursi kosong.. \nJgn smp nanti kursi kosong diperjual belikan loh ya apalg utk sklh2 favorit di Jakarta.\n\nhttps://t.co/89T1TBEAaF'
Negatif;2020;'LSM GMBI Dki Jakarta Menuntut Kepada Gubernur Dki Jakarta Agar PPDB Segera DiCabut https://t.co/zkDWOanUS9'
Negatif;2020;'@saykoji @Kemdikbud_RI Swasta mana mungkin bisa dicampuri bang, makanya wali murid sy rebutan cari sekolah negeri saat ppdb jakarta kemarin krn gratis spp dll, termasuk buku yg dipinjamkan. Malah byk yg dari sekolah swasta pindah ke negeri jg demi gratis. Tapi ya itu seleksi kacau'
Negatif;2020;''@ttraashhhhh @sethrash666 Emang yang perlu dikritisi skrg itu sistem ppdb yang makin kacau ditambah pula model zonasi yang gak jelas, lebih parah di Jakarta pakai sistem umur. Semua sekolah belum bs disamakan semua, kasian anak2 yang emg pinter dan hrs sekolah yang ga mendukung. Halo @Itjen_Kemdikbud'
Negatif;2020;''Mulai kebijakan normalisasi sungai di jakarta, formula B di monas yg mengorbankan pohon2 mahoni, penanganan covid19 dan bantuan utk para korban dampak pandemi yg ambur adul, masalah PPDB yg akhirnya mengorbankan anak2 berprestasi menunjukkan ketidakmampuanmu anies baswedan !!'
Negatif;2020;'sebenernya aku orangnya ga dendam atau klo nyesel/kecewa ga lama, cuma kadang masih kecewa sama ppdb zonasi pake umur krn aku msh 14, okt nnt baru 15, harapan cuma di japres tp rata anak negri kalah sama swasta. sejak masuk smp aku udh netapin mau masuk sman 81 jakarta,sekolah'
Negatif;2020;'@rockykerung @armawaras @yunartowijaya Ga habis pikir emang. Gw kenal 2org model bgini, emak2 yg misuh2 anaknya ga keterima di sekolah negeri gara2 aturan ppdb di jakarta. Tau ga yg disalahin siapa? Mendikbud....'
Negatif;2020;@keteknyawonpil iyaa bapak aku kan dipindah kerjanya ke sana dari januari lalu, karena aku dsah males ikut ppdb jakarta jadi aku ikut ke ambon aja huhu'
Negatif;2020;''gw kan liat ppdb jakarta, ada yg paling muda nya 15 th 3 bulan (kalo ga salah), ini gw yg 15 tahun masih lama nyoba di jakarta gimana anjir. Auto swasta'
Negatif;2020;@duhvii Gatau capek bgt sama ppdb jakarta'
Negatif;2020;''Gubernur Covid konpres mulu..PPDB JAKARTA MINGKEM...KAN TAI!!! https://t.co/ZJWzWdSKwf'
Negatif;2020;''Kadis pendidikan Dki Jakarta,membuat kebijakan PPDB dengan batas usia,Akibatnya para orang tua tambah pusinggggggggggggg mencari duit untuk daftar anak di sekolah SWASTA\nKonyollllllllllllllll........ https://t.co/5gW1FyBIla'
Negatif;2020;'@PPDBDKI1 Apa rencana pemerintah DKI Jakarta untuk anak yg gagal diterima PPDB? Kalau ortunya tak sanggup daftarkan ke sekolah swasta krn mihil, gmn?'
Negatif;2020;''Smoga ada org yg mau membiayai unt melanjutkan skolah ya dek.....\n\nTak Lolos PPDB Jakarta, Pelajar Peraih Ratusan Penghargaan Akhirnya Putus Sekolah - https://t.co/FM24mnaDx4 https://t.co/yx7LS6R9np'
Negatif;2020;''Kenapa ya DPRD Dki Jakarta diam seribu bahasa ketika orang tua siswa merasa dirugikan/disusahkan dengan aturan Usia dalam PPDB di Dki Jakarta Oleh kepala dinas pendidikan,\n\nANEHH\nKatanya perwakilan rakyat,\n waktu kampanye bro ,ngaku- ngaku berjuang untuk rakyat,\nKacian deh,,'
Netral;2020;''#ppdb #homeschooling #paketa #paketb #paketc @ Jakarta, Indonesia https://t.co/h9Li1AcP4z'
Netral;2020;''Tahun Pelajaran baru sudah dimulai. Walaupun harus sekolah online, adik-adik tetap semangat untuk belajar, ya!\n\nKita kilas balik yuk, apa saja jalur PPDB yang disiapkan Pemprov DKI? Dan kenapa sih ada banyak jalur?\n\n#jagajakarta #DisdikDKI #PPDBJakarta\nhttps://t.co/9CvgS2sRhi'
Netral;2020;''Mau ngga mau kudu baca2 web nya ppdb jakarta...just in case... https://t.co/BgqqNVSFw5'
Netral;2020;''Sejarah mencatat PPDB DKI Jakarta https://t.co/bSvQEFGTAp'
Netral;2020;''Kisruh Penerimaan Peserta Didik Baru (PPDB) 2020 di DKI Jakarta hingga saat ini masih menjadi perbincangan.\n#KAMUHARUSTAU \n#PPDB\n#ppdbdki2020 \n\nhttps://t.co/JPBJMSN80r'
Netral;2020;''Anies Baswedan minta kajian penyaluran bantuan bagi seluruh siswa yang gagal dalam PPDB 2020. #KoranTempo #Jakarta\nhttps://t.co/bhCrY2LATK'
Netral;2020;''Pelaksanaan Sosperda No 2 Tahun 2016 tentang Kepemudaan oleh Ketua Fraksi NasDem DPRD DKI Jakarta, Wibi Andrino\n\nPada kesempatan ini @wibiandrino menyerap banyak aspirasi, seperti masalah kesehatan, PPDB DKI, hingga pelatihan UMKM online\n\n@DPWNasDemJKT @NasDem \n\n#FraksiNasDemJKT https://t.co/4GhrvEFfIj'
Netral;2020;''Dinas Pendidikan DKI Jakarta menanggapi kabar soal adanya siswa berprestasi bernama Aristawidya Maheswari. Gadis yang kerap disapa Arista itu gagal lolos PPDB DKI meskipun memiliki banyak prestasi. #PPDB #PPDBDKI https://t.co/eMansno8k4'
Netral;2020;''Tahun ajaran baru 2020/2021 sudah dimulai. Namun, setidaknya ada 7.798 kursi dalam kuota Penerimaan Peserta Didik Baru (PPDB) DKI Jakarta Tahun 2020 yang kosong. #PPDB #PPDBDKI https://t.co/SSpGDe3DRd'
Netral;2020;''Terdapat 106 nama yang mengadukan nasibnya ke KPAI karena gagal lolos PPDB DKI. Daftar 106 itu telah diserahkan ke Disdik DKI Jakarta untuk ditindaklanjuti. #PPDB #PPDBDKI https://t.co/BhbDIgnNLj'
Netral;2020;''PPDB Jakarta resmi berakhir. Tahun ini, PPDB Jakarta menambah syarat usia untuk peserta didik. #kumparanNEWS https://t.co/nPpZtwbGwn'
Netral;2020;''PPDB DKI Jakarta 2020 Selesai, Ribuan Kursi Masih Kosong https://t.co/hvi02lrzxy'
Netral;2020;''Kursi kosong Sekolah Negeri usai PPDB Jakarta paling banyak terdapat pada jenjang Sekolah Dasar (SD), yakni 6,71 persen atau 6.666 kursi. #kumparanNEWS https://t.co/p2HVAQVRI1'
Netral;2020;''Dinas Pendidikan DKI Jakarta sebut ada kursi tersisa usai PPDB 2020 https://t.co/L55jEDEh6b https://t.co/wk1TtxBOON'
Netral;2020;''PPDB Jakarta 2020/2021 sisakan 7.758 kursi kosong\nhttps://t.co/HFTsCFgban https://t.co/lUnVOgOtjs'
Netral;2020;''PPDB Berakhir, Masih ada 7.758 Kursi Kosong di Jakarta. Penyebab adanya kursi kosong pada penutupan PPDB zonasi adalah sekolah berlokasi di dekat pusat perkantoran atau di Kepulauan Seribu.  https://t.co/qD0pwLK3UY'
Netral;2020;''[ PPDB 2020 DKI JAKARTA POLEMIK PERSYARATAN USIA DALAM PBB ]\n\nHalo sahabat FEMA!\n\nPelaksanaan PPDB di DKI Jakarta tahun ini, terdapat perbedaan yaitu penggunaan usia sebagai salah satu faktor pertimbangan dalam penerimaan calon peserta didik baru. https://t.co/F1gdwYA4Eh'
Netral;2020;''SDN Srengseng 5 Pagi, Kembangan, Jakarta Barat mengadakan sosialisasi Pembelajaran Jarak Jauh (PJJ) bagi para wali murid. https://t.co/RvxzgBKMzo #ppdb #pendaftaranppdb #antreanppdb'
Netral;2020;''ILUNI UI kembali mengadakan berbagai webinar di antaranya pro-kontra kebijakan PPDB DKI Jakarta dan webinar seputar inovasi koperasi. Policy Center ILUNI UI juga kembali mengadakan diskusi yg diunggah ke Spotify dan Youtube ILUNI UI, serta diskusi dgn para aktivis Alumni UI. https://t.co/kSh8xmBgc8'
Netral;2020;''@ikramarki ikut ppdb jakarta bang'
Positif;2020;''@historydino Gue tadinya mau ipa tpi gara2 kelempar mulu jadi terpaksa milih ips\n\nTadinya mau linjur sih ternyata IPS enak juga xixixixix makasih PPDB Jakarta'
