Value;Tahun;Komentar
Negatif;2018;'@dit_psma jika jarak menjadi komponen yg dihitung dalam ppdb dki tentu siswa luar DKI tidak berbondong2 mendaftar ke sma fav yg letaknya di tengah kota jakarta. Selama ini hanya nilai tinggi yg jadi menentu walau rumah mereka di papua sekalipun'
Negatif;2018;'@ppdbdki @kimwiddle @juwawatini @SIAPonline Menurut saya jalur luar kota pada PPDB DKI juga kurang tepat. Mungkin utk sekolah yg berbatasan bisa lah. Luar kota itu menembus batas zonasi banget \xf0\x9f\x98\x9csementara anak jakarta dibatasi zonasi... kasian lah anak jakartanya'
Negatif;2018;'@InfoDikti Walau sejak tahun lalu sudah ada permendikbud 17/2017 yang mengatur zonasi minimal 90% namun PPDB Jakarta tahun ini masih BELUM menerapkan itu...lokal hanya 55% dan nilai UN tetap diutamakan\xf0\x9f\xa4\xa6\xf0\x9f\x8f\xbc\xe2\x80\x8d\xe2\x99\x80\xef\xb8\x8f\xf0\x9f\xa4\xa6\xf0\x9f\x8f\xbc\xe2\x80\x8d\xe2\x99\x80\xef\xb8\x8f\xf0\x9f\xa4\xa6\xf0\x9f\x8f\xbc\xe2\x80\x8d\xe2\x99\x80\xef\xb8\x8f\xf0\x9f\xa4\xa6\xf0\x9f\x8f\xbc\xe2\x80\x8d\xe2\x99\x80\xef\xb8\x8f'
Netral;2018;'Come and join us at\n\nPPDB SMK Telkom Jakarta. \n\n---\n\nSMK Telkom Jakarta\nSekolah yang keren,  \n\nKami Menerapkan Budaya REDI_CCP (Character,  Content,  Process)  berbasis 4R  ---&gt Olah Raga,\xe2\x80\xa6 https://t.co/irBADNSLlV'
Netral;2018;'Come and join us... \n\nPPDB SMK Telkom Jakarta. \n\nSMK Telkom Jakarta\nSekolah yang keren,  \n\nKami Menerapkan Budaya REDI_CCP (Character,  Content,  Process)  berbasis 4R  ---&gt Olah Raga,\xe2\x80\xa6 https://t.co/kyX027TkBb'
Netral;2018;'Promosi PPDB tiada henti. \n\nSilaturahmi dan promosi ke MTS 13 dan SMPN 245, disambut hangat oleh Bapak Kepsek,  Bapak waka dan siswa-siswi SMP dan MTS dengan sangat antusias. \n\nSMK Telkom Jakarta\nSekolah yang... https://t.co/BpnUgbAdxn'
Netral;2018;'gak ngobrol gak apa, balik, lulus, now what? gue ke jakarta dan stay disana untuk waktu yg agak lama krn tdnya gue mau sma di jkt tp gajadi WKWKWK. eh pas gue balik dr jkt haris ngechat lagi. gimana kabar gue, perkembangan ppdb gue gimana'
Netral;2018;"""Pendaftaran PPDB Tahun Pelajaran 2019/2020 masih dibuka Gelombang 2..!!!\n.\nAyo segera daftar dan ikuti jalurnya. Mau jadi hafizh qur'an? SD Muhammadiyah 1 Jakarta tempatnya.\n.\nInformasi lebih lanjut mengenai... https://t.co/uFNqmyedsn"""
Netral;2018;'Passing Grade \xe2\x80\x93 hasil PPDB SMK DKI Jakarta th 2018 https://t.co/w4H0h9M056'
Netral;2018;'info PPDB dapat menghubungi telp (hunting) 021-8400387 Ext : TK 114, SD  115/116, SMP 118, SMA 124, SMK 1 127 dan SMK 2 131 #pendidikan #pendidikanislam #siswabaru #Jakarta #islamicschool #SDN @pbsoedirman24 @yisc_alazhar @GlobalIslamic @Kemdikbud_RI'
Netral;2018;'PPDB SDN 2019 DKI Jakarta Tidak Perlu Sertakan KIA #PPDB #Disdik #KIA https://t.co/YuLLszSZzC'
Netral;2018;'PPDB SDN 2019 DKI Jakarta Tidak Perlu Sertakan KIA #PPDB #Disdik #KIA https://t.co/GZTzhjHFtf'
Netral;2018;'PPDB SD DKI Jakarta 2019 Tidak Pakai Kartu Identitas Anak https://t.co/SlSfFFuWYo via @wartakotalive'
Netral;2018;'@SIAPonline \nSelamat Sore Admin,\nSaya ingin bertanya...\nApakah publik dapat mengunduh database arsip PPDB DKI Jakarta?'
Netral;2018;'Team ppdb persentasi di SMPN 274\xf0\x9f\x8f\x86\xf0\x9f\x8f\x86\xf0\x9f\x8f\x86\n\nAntusias yang tinggi dari siswa siswi SMPN 274.\n.\nSMK Telkom Jakarta\nSekolah yang keren,  \n\nKami Menerapkan Budaya REDI_CCP (Character,  Content,  Process)  berbasis 4R  ---&gt... https://t.co/qSI8pv3kbY'
Netral;2018;'Team ppdb persentasi di SMPN 274\xf0\x9f\x8f\x86\xf0\x9f\x8f\x86\xf0\x9f\x8f\x86\n\nAntusias yang tinggi dari siswa siswi SMPN 274.\n.\nSMK Telkom Jakarta\nSekolah yang keren,  \n\nKami Menerapkan Budaya REDI_CCP (Character,  Content,\xe2\x80\xa6 https://t.co/P245C4NRHG'
Netral;2018;'Kepala Dinas Pendidikan dan kebudayaan Tangsel, Bantah Pihaknya Korupsi Terkait PPDB dan Simpetas https://t.co/ntaeVlrnrA lewat @Tribun_Jakarta'
Netral;2018;'Kepala Dinas Pendidikan dan kebudayaan Tangsel, Bantah Pihaknya Korupsi Terkait PPDB dan Simpetas https://t.co/oly4NlpgLR lewat @Tribun_Jakarta'
Netral;2018;'Passing Grade \xe2\x80\x93 hasil PPDB SMK DKI Jakarta th 2018 \xe2\x80\x93 K-Blog https://t.co/w4H0h9M056'
Netral;2018;'#PPDB Online 2014 Jakarta Diminati Calon Siswa SMP/SMA https://t.co/rz890m3IiJ #headline #internet #national #ppdbonline'
Netral;2018;'Passing Grade \xe2\x80\x93 Hasil PPDB SMA DKI Jakarta th 2018 \xe2\x80\x93 K-Blog https://t.co/D0NgkgLjm2'
Netral;2018;'Meeting staff gama school perencanaan pembukaan PPDB siswa baru 2019-2020 @ Jalan Alur Laut, Rawabadak, Koja, Jakarta Utara, DKI Jakarta, Indonesia https://t.co/6alnI16F12'
Netral;2018;'Presentasi ke MTS ASY.SYUKRIYYAH oleh tim ppdb SMK Telkom Jakarta. \n.\n\nSekolah yang keren,  \n\nKami Menerapkan Budaya REDI_CCP (Character,  Content,  Process)  berbasis 4R  ---&gt Olah Raga,  Olah Rasa,  Olah Rasio... https://t.co/xyDrJr5aiA'
Netral;2018;'Presentasi ke MTS ASY.SYUKRIYYAH oleh tim ppdb SMK Telkom Jakarta. \n.\n\nSekolah yang keren,  \n\nKami Menerapkan Budaya REDI_CCP (Character,  Content,  Process)  berbasis 4R  ---&gt Olah Raga,\xe2\x80\xa6 https://t.co/PdfVIzEDFk'
Netral;2018;'PPDB TA 2019/2020 SMK SINT JOSEPH JAKARTA\n\n#ppdb2019\n#smksintjoseph \n#ppdbsmk\n#infosmk https://t.co/6TUHo8vD1u'
Netral;2018;'Ujian Saringan Masuk PPDB \nSMK Telkom Jakarta tahap 2\n\nDalam rangka menjaga kualitas,  tahapan ujian meliputi tes akademis,  psikotes dan wawancara \n.\n\nSekolah yang keren,  \n\nKami\xe2\x80\xa6 https://t.co/cbVd5StfoA'
Netral;2018;'Passing Grade \xe2\x80\x93 Hasil PPDB SMP DKI Jakarta th 2018 \xe2\x80\x93 K-Blog https://t.co/59qOYoxxpF'
Netral;2018;'Saya menambahkan video ke playlist @YouTube https://t.co/j7uYzlVcVF Motion Graphic PPDB DKI 2017 Karya SMK N 51 Jakarta | Multimedia'
Netral;2018;'Kabid SMP Disdikbud Tangsel Sebut Kendala Pendaftaran PPDB ... - Tribun Jakarta https://t.co/W64vOf0Ydx'
Netral;2018;'Pendaftaran Gelombang 1 telah dibuka.. mari bergabung bersama kami. #school #islamic #bekasi #jatisampurna #kranggan #sekolah #islam #pendaftaran #ppdb #jakarta #info https://t.co/ChkHUgPrhl'
Netral;2018;'Informasi PPDB 2019/2020 SDS Regina Pacis Jakarta\n#recisjakarta https://t.co/q7xTwZi45U'
Netral;2018;'PPDB SMK Telkom Jakarta\n\nPenerimaan Peserta Didik Baru \nTA 2019-2020 telah dibuka. \n\nInfo lanjut :\nhttps://t.co/mwOHOhqH8p\nWA.  08111-44-2600 @ Smk telkom school jakarta https://t.co/snUFXGSg1m'
Netral;2018;'Ombudsman Perwakilan Jakarta Raya menemukan berbagai dugaan pelanggaran dan maladministrasi dalam penerimaan peserta didik baru (PPDB) Online 2018 di Bogor, Depok, dan Bekasi.\n\nhttps://t.co/ueTZOYiAQf'
Netral;2018;'Info pendaftaran PPDB SMK Telkom Jakarta TA 2019-2020\n\nUntuk keterangan lebih lanjut, silahkan hubungi petugas PPDB kami di nomor 08-111-44-2600 atau nomor 021-544 2600\n\nProsedur\xe2\x80\xa6 https://t.co/sIpJqHaNPH'
Positif;2018;'Puji Tuhan\n\nsi bontot tulis di wag keluarga\n\n\xf0\x9f\x91\xa7: guise\n        sosyel all the way \xf0\x9f\x99\x8c\xf0\x9f\x99\x8c\xf0\x9f\x99\x8c\xf0\x9f\x99\x8c\n\nhasil pengumuman PPDB SMA St. Ursula Jakarta\n\nanak SOS is coming from the Hartantos \xf0\x9f\x98\x8d\n\nadikmu alamat twtitter e opo sih @rahanindyaaa ?'
Positif;2018;'Radar Bogor : Sleman Apresiasi PPDB dengan Sistem Zonasi JAKARTA-RADAR BOGOR, Meski sempat men  https://t.co/8COwH0l6u9'
Positif;2018;'Semua dilayani denga baik di Posko PPDB Online DKI Jakarta https://t.co/L3A2efBbTh \nMimin memantau proses pelayanan di posko https://t.co/Y4DhCp0mhc'
Positif;2018;'mimin memantau kunjungan Gubernur DKI jakarta  di Posko PPDB Online DKI jakarta, Alhamdulillah PPDB DKI jakarta tahun ini berjalan Lancar, aman terkendali \nhttps://t.co/L3A2efBbTh @Disdik_DKI https://t.co/Q40d9gWlsS'
Positif;2018;'@RadioDakta @Disdik_bkskota ppdb online SMPN 6 kota bekasi aktif update nya dong,\nterakhir 3 Jul 2018 14:43 WIB.\nsampe skrg blm update lagi.\njakarta bisa loh update tiap 10 menit..'
Positif;2018;'PPDB SMP online Kab. Bekasi 2018 sepertinya blm siap dan dipaksakan, tidak seperti tetangga Kota Bekasi dan Jakarta yg lancar, informatif dan update selalu dgn @SIAPonline\n@PemkabBekasi @urbancikarang'
Positif;2018;'@eka_aprilina12 @Itjen_Kemdikbud Iya untuk #ppdbbanten webnya sangat minim info, jauh sekali ketika saya bandingkan dengan web #ppdbjakarta maupun #ppdbjawabarat'
Positif;2018;'@munfess ada kartu jakarta pintar kok. menurut aku kamu ngotot aja daftar ppdb sma online,kalo udh diterima aku yakin kok gamungkin papa mama kamu ngalangin km buat sekolah. dan kalo kamu bener2 ngotot kamu juga bisa kerja jualan kue di sekolah, bantu2 kantin, atau kerja partime jd waiter'
Positif;2018;'Alhamdulillah PPDB SMA Negeri tahap pertama selesai dan Yartika diterima di SMA Negeri 46 Jakarta.'
Positif;2018;'Sore ini jam 16.00, PPDB Jakarta, tahap1 jalur lokal SMAN sudah ditutup dan dinyatakan kandidatnya sdh di terima.\nKeren Proses Seleksinya.'
Positif;2018;'PPDB atau Penerimaan Peserta Didik Baru secara online adalah salah satu prestasi riil pak @jokowi saat beliau masih jadi Gubernur DKI Jakarta. Pelaksanaan PPDB online bagus &amp tanpa pungli. Sayang PPDB Online gratis belum terlaksana di seluruh daerah seperti di DKI.'
Positif;2018;'@changlixoxo ENAK BANGET LO PPDB JAKARTA APAKABAR GUE SMA NEGERI DISINI BISA DIITUNG JARI:(('
Positif;2018;'@anisakarsa @banten_prov Biasanya karena overload servernya, dan tenggang waktu akan diperpanjang, Jakarta juga dulu begitu....tp tahun ini sepertinya sudah bagus....utk PPDB'
Positif;2018;'Dari penjelasan ini, Pemda Jakarta berkomitmen setiap anak dapat imunisasi. Tapi Pemda jg nggak mau anak gagal sekolah krn blm imunisasi.\n\nOleh karena itu, PPDB jadi semacam screening riwayat #imunisasi calon murid.\n\nJalan tengah yg baik. https://t.co/45iGIljOXV'
Negatif;2019;'@jokowi PAK PRESIDEN TERBAIK SEUMUR HIDUPKU knp ya kok PPDB DKI Jakarta lain dgn seluruh provinsi lain  se-Indonesia? ga pake SISTEM ZONASI pak.... kasihan kan yg ga bisa sekolah  dinegri krn ga bs dpt kebijakan dari pak JOKOWI yaitu SEKOLAH  GRATIS.'
Negatif;2019;'@PPDBDKI1 knp ya kok PPDB DKI Jakarta lain dgn seluruh provinsi lain se-Indonesia... ga pake SISTEM ZONASI.... kasihan kan yg ga bisa sekolah dinegri krn ga bs dpt kebijakan dari pak JOKOWI yaitus SEKOLAH GRATIS....'
Negatif;2019;'@dianamidelaID @ppdbdki @Sutoyo77763066 @VINAorDUNUK @aniesbaswedan Kok sama ya rekapin hasil PPDB jakarta sejak bocahnya kls 7 hahaha'
Negatif;2019;'Ombudsman Sesalkan DKI Jakarta Tak Terapkan PPDB Zonasi, Ada Apa? https://t.co/mgcG25AXs5'
Negatif;2019;'Ombudsman Sesalkan DKI Jakarta Tak Terapkan PPDB Zonasi, Ada Apa? https://t.co/ywXDWI6ywi'
Negatif;2019;'Ombudsman Sesalkan DKI Jakarta Tak Terapkan PPDB Zonasi, Ada Apa? https://t.co/JDy5jkEbNY'
Negatif;2019;'Anaknya yang ikutan PPDB di sekolah negeri, emak-emaknya yang dag dig dug memantau pergerakan hasil seleksi kayak pergerakan harga saham. Di Jakarta, seleksi akhir tetap berdasar nilai UN. Berbeda dengan beberapa daerah yang mengutamakan jarak rumah. #PPDB2019'
Negatif;2019;'@ganjarpranowo @pdkjateng selain banyak celah dizonasi aspal versi PPDB online, perpindahan orang tua wali yang juga harus dicermati, semisal KK lama Jakarta tp sekolah asal Semarang, dah jelas2 ini tidak masuk akalkan, krn sudah 3 tahun dia disemarang, kecuali jika memang sekolah asal dari SMP di Jakarta'
Negatif;2019;'Dear Mimin, hari ini kan jadwalnya PPDB SMP non zonasi, tapi kenapa saya gak bisa daftarkan anak saya ya? Ada error warning, jalur ini diperuntukkan bagi cpd domisili dalam propinsi DKI Jakarta, yg seharusnya bisa juga untuk domisili luar DKI kan? Mohon bantuannya.'
Negatif;2019;'DPR Kritisi Praktik Manipulasi Domisili Demi Zonasi PPDB: JAKARTA, EDUNEWS.ID-Pelaksanaan Penerimaan Peserta Didik Baru (PPDB) melalui mekanisme zonasi sebesar 80% membuka ruang praktik manipulasi domisili. Pelaksanaan PPDB harus diawasi dan dievaluasi.\xe2\x80\xa6 https://t.co/KfoatJjsvI https://t.co/G1qvVZVfs0'
Negatif;2019;'Timbulkan Polemik, Sistem Zonasi PPDB Belum Mampu Meredam Kerisuhan  Peneliti Center for Indonesian Policy Studies : \xe2\x80\x9cMeski Pemerintah Menghapuskan Stigma \xe2\x80\x9cSekolah favorit\xe2\x80\x9d dan \xe2\x80\x9cSekolah Non favorit\xe2\x80\x9d   Jakarta, Mediamerdeka.co-Pemerintah perlu mengevaluasi https://t.co/8zUjtYknn7'
Negatif;2019;'Tahun ini banyak yang gak suka sama sistem PPDB yang memprioritaskan zonasi. Awalnya aku juga begitu. Ngerasa gak adil karena aku sendiri kartu keluarga Jakarta dan belum pindah KK.'
Negatif;2019;'Ombudsman menilai Pemprov DKI Jakarta melakukan maladministrasi terkait PPDB. https://t.co/YAOlQJ9xaE'
Negatif;2019;'@iKan_Jabrik @PPDBDKI1 Tadi ke posko ppdb jakarta timur jg banyak penerima kjp yg ga bs daftar zonasi afirmasi, infonya data dari dukcapil &amp sistem zonasi blm sinkron, tolong admin penjelasan nya https://t.co/yIuTIJtr8F'
Negatif;2019;'Dalam Petunjuk Teknis PPDB 2019 Jakarta diketahui Jakarta tidak mengutamakan sistem zonasi sebagaimana yang diatur dalam Permendikbud tersebut. Mengapa? #Nasional https://t.co/r2ESJU8JzE'
Negatif;2019;'Ombudsman: DKI Jakarta Lakukan Maladministrasi di PPDB https://t.co/w4MaWn4i1a https://t.co/eNcGAsQgYW'
Negatif;2019;'Posko PPDB Jakarta Selatan yang berpusat di SMAN 70 Kebayoran ramai dikunjungi para orang tua murid. Orang tua murid mengeluhkan perbedaan data seperti NIK dan juga verifikasi data yang nantinya digunakan untuk tahapan pertama pendaftaran PPDB online jalur zonasi. #GTVNews https://t.co/AkkqSqP3D0'
Negatif;2019;'Dinilai Bohongan, Kadisdik DKI: PPDB Sistem Zonasi di Jakarta Paling Adil https://t.co/RYToJGIXiP'
Negatif;2019;'OOhhh hari ini tuh hari terakhir pendaftaran PPDB SMA di Jakarta~~~ Goodluck ya kalian yang lagi proses pendaftaran sekolah!\n\nBTW, siapa yang disekolah / kampus berprestasi? Ranking? menang lomba? IPK nya 4 mungkin? huahaha\n\n#DGITM pengen tau dooong!'
Negatif;2019;'OOhhh hari ini tuh hari terakhir pendaftaran PPDB SMA di Jakarta~~~ Goodluck ya kalian yang lagi proses pendaftaran sekolah!\n\nBTW, siapa yang disekolah / kampus berprestasi? Ranking? menang lomba? IPK nya 4 mungkin? huahaha\n\n#DGITM pengen tau dooong!'
Negatif;2019;'OOhhh hari ini tuh hari terakhir pendaftaran PPDB SMA di Jakarta~~~ Goodluck ya kalian yang lagi proses pendaftaran sekolah!\n\nBTW, siapa yang disekolah / kampus berprestasi? Ranking? menang lomba? IPK nya 4 mungkin? huahaha\n\n#DGITM pengen tau dooong!'
Negatif;2019;'OOhhh hari ini tuh hari terakhir pendaftaran PPDB SMA di Jakarta~~~ Goodluck ya kalian yang lagi proses pendaftaran sekolah!\n\nBTW, siapa yang disekolah / kampus berprestasi? Ranking? menang lomba? IPK nya 4 mungkin? huahaha\n\n#DGITM pengen tau dooong!'
Negatif;2019;'OOhhh hari ini tuh hari terakhir pendaftaran PPDB SMA di Jakarta~~~ Goodluck ya kalian yang lagi proses pendaftaran sekolah!\n\nBTW, siapa yang disekolah / kampus berprestasi? Ranking? menang lomba? IPK nya 4 mungkin? huahaha\n\n#DGITM pengen tau dooong!'
Negatif;2019;'OOhhh hari ini tuh hari terakhir pendaftaran PPDB SMA di Jakarta~~~ Goodluck ya kalian yang lagi proses pendaftaran sekolah!\n\nBTW, siapa yang disekolah / kampus berprestasi? Ranking? menang lomba? IPK nya 4 mungkin? huahaha\n\n#DGITM pengen tau dooong!'
Negatif;2019;'Jarak yang memisahkan kita fergusooooo ~ \nKalo nikah harus sesuai zonasi\nkamu termasuk di zona kelurahan \nmana di Cimahi Cimtizen? \xf0\x9f\x98\x82\n\n#infocimahi #cimahi #kotacimahi #nikah #bandung #ppdb #garut #sumedang #jakarta #viral #cimahicity #explorecimahi #jawabarathttps://t.co/EYjXXDBjns'
Negatif;2019;'Ngomongin soal PPDB. Berhubung gue masih baru juga, jadi jujur aja sih kurang mengerti gimana sistemnya ini.\n\nTapi 1 sih, sistem DKI ini sedikit berbeda dengan sistem di daerah. Kalau di daerah benar\xc2\xb2 zonasi tanpa mempedulikan NEM, kalau Jakarta masih main NEM.'
Negatif;2019;'Bagaimana merengking di PPDB Online DKI  Jakarta??? Koq seperti tidak memenuhi aturan?\n\nKeterangan Gambar\n\nNilai Inisial Siswa M.\n\nNilai Inisial Siswa A.\n\nSeleksi Tayang di Online\n:\n\n1. Inisial M tayang di... https://t.co/XSGUBJQpKN'
Negatif;2019;'Pindah Domisili Agar Lolos Sistem Zonasi PPDB di Jakarta Pasti Sia-sia https://t.co/ojz4zoUK2w'
Negatif;2019;'frustasi sm ppdb jakarta..'
Negatif;2019;'@psi_id Mohon dipantau pelaksanaan PPDB di DKI Jakarta yang masih menitik beratkan nilai UN. Yang saya tahu langsung di SMAN 91. Saya perkirakan hal ini merata terjadi DKI. Padahal sistem zonasi akan memberikan keadilan dan pemerataan kwalitas pendidikan.'
Negatif;2019;'@educationfess setauku nih ya pas daftar adik sekolah. zonasi di jakarta itu nem nya tetep berlaku. tapi, sekolahnya itu dipilihin sama orang ppdb nya. misal rumah lu di kecamatan gambir ya paling sekolahnya bisanya di daerah situ2 juga gak bisa ke kecamatan cawang gituu. saingannya ttp pke nem'
Negatif;2019;'pak @jokowi , ppdb dki jakarta saat ini sedang sangat kacau, pak. saya mau sekolah'
Negatif;2019;'@PPDBDKI1 To admin maaf mau tanya mengenai sistem zonasi khususnya seleksi masuk ppdb SMAN jakarta barat itu berdasarkan jarak dr rumah ke selokah tujuan terdekat atau tetap grading seperti tahun sebelumnya by nilai tertinggi soalnya saya merasa sbg ortu murid sistem zonasi ttpby nilai'
Negatif;2019;'PPDB Jalur Zonasi SMA Jakarta Diwarnai Keluhan soal Waktu Pelayanan https://t.co/9W2DY3ltrt'
Negatif;2019;'Saya ingat betul saat PPDB online si sulung thn 2014/2015 di Jakarta Timur.lancar sekali saat pendaftaran ada  jalur umum dan jalur sekecamatan selain prestasi. Antri sesuai nomor,masuk input nilai,verifikasi,tinggal tunggu real time anak masuk mana? Kok skrg jadi horror ya'
Negatif;2019;'Orang Tua Keluhkan Lamanya Proses PPDB Sistem Zonasi di Jakarta https://t.co/21JkVtnjYA https://t.co/uvtpuBuYBM'
Negatif;2019;'Case .\nAnak  Istri sudah tinggal di semarang.\nAnak sudah sekolah di SD semarang.\n\nCuma KK masih ikut saya di Jakarta.\n\nSama sekali tidak ada kesempatan daftar PPDB .\n\nMasih mending di berikan kesempatan daftar tp kalah dipenyisihan nilainya. Itu lebih fair.'
Negatif;2019;'@Stargazzinxx #hapuskanzonasi\nTOLONG PAK NOTICE! BESOK PPDB JAKARTA DIBUKA DAN SAYA MAU ZONASI SUDAH DIHAPUS KALO PERLU PPDB ULANG! nilai saya bagus dan mati matian belajar dan keluarin banyak uang kl hasilnya zonk mending saya gausah sekolah pak. biar pendidikan indonesia makin BOBROK!!!!!!!!'
Negatif;2019;'Setiap Tahun ganti model PPDB, Saya Bingung dengan orang pandai yang ada di Jakarta. Mengapa selalu Dunia Pendidikan menjadi Uji Coba Sistem.\nAyo Kembali ke Bimbingan Ki Hajar Dewantoro'
Negatif;2019;'Orangtua Murid Nilai Sistem Zonasi PPDB 2019 Tidak Adil https://t.co/nz6yMp80IR lewat @Tribun_Jakarta'
Netral;2019;'Pengantaran Prakerin Jakarta dan Sekitarnya.\n.\nPPDB 2020/2021 telah dibuka !\n\nPendfataran :\nhttps://t.co/KeLoszQAsf\nWA 081 393 184748 https://t.co/7rokNx88Yk'
Netral;2019;'------------------------\nM36a\nSMP Muhammadiyah 36 Jakarta\nJl. Tebet Timur II No.35. Tebet Jakarta Selatan, Jakarta Selatan\n\nInformasi Penerimaan Peserta Didik Baru (PPDB) tahun pelajaran 2020/2021\nSMP Muh 36 : 021 829 5772, 0818144521\n#smpmuhammadiyah36\n#smpberkemajuan\n#M36a\n#smp https://t.co/2GTe5f31YM'
Netral;2019;'Besok, 19 Juni 2019, PPDB Madrasah DKI Jakarta Diumumkan - https://t.co/eyPa4pkeL3'
Netral;2019;'Kamu Punya Prestasi, Simak Cara Mendaftar PPDB 2019 DKI Jakarta Jalur Prestasi! - https://t.co/r3Ic7aE9wo'
Netral;2019;'Kamu Punya Prestasi, Simak Cara Mendaftar PPDB 2019 DKI Jakarta Jalur Prestasi! - https://t.co/r3Ic7aE9wo'
Netral;2019;'Ini Syarat Lengkap PPDB Online Jenjang SMP dan SMA 2019 di DKI Jakarta - https://t.co/eco06NU1ku'
Netral;2019;'Besok, 19 Juni 2019, PPDB Madrasah DKI Jakarta Diumumkan - https://t.co/eyPa4pkeL3'
Netral;2019;'------------------------\nM36a\nSMP Muhammadiyah 36 Jakarta\nJl. Tebet Timur II No.35. Tebet Jakarta Selatan, Jakarta Selatan\n\nInformasi Penerimaan Peserta Didik Baru (PPDB) tahun pelajaran 2019/2020.\n\nSMP Muh 36 : 021 829 5772, 0818144521 https://t.co/MAve4vy9Xh'
